model,image_id,store_name_tp,store_name_fp,store_name_fn,store_address_tp,store_address_fp,store_address_fn,telephone_tp,telephone_fp,telephone_fn,date_tp,date_fp,date_fn,time_tp,time_fp,time_fn,prod_item_tp,prod_item_fp,prod_item_fn,prod_quantity_tp,prod_quantity_fp,prod_quantity_fn,prod_price_tp,prod_price_fp,prod_price_fn,subtotal_tp,subtotal_fp,subtotal_fn,tax_tp,tax_fp,tax_fn,tips_tp,tips_fp,tips_fn,total_tp,total_fp,total_fn
granite4,image_files/Image_1/0/01e19e8b2d86190ca474aaaa8f19d44ebaf469be.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_1/0/242c854b37808700f53d8a6b787f6748c59c17fe.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,7,0,4,0,4,0,0,0,1,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_1/0/2944.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,8,1,0,8,0,1,1,0,0,0,1,1,0,1,0,0,1,0
granite4,image_files/Image_1/0/36bef8239a89c5ab98fb3b07656dcaf269c7fa1b.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_1/0/40.jpeg,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,21,0,17,0,17,0,0,0,1,0,0,1,1,0,1,0,1,0,0
granite4,image_files/Image_1/0/497b77e644d91380c1753641f7802d5a671ac561.jpeg,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_1/0/576acc913795e5c77a19345c4271108484973e61.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,2,0,3,5,0,0,5,0,0,1,0,0,0,1,0,0,1,0,1,0,0
granite4,image_files/Image_10/10/0a8077a5c56521c8b0c207c50678898cf855719c.jpeg,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_10/10/17879e88d2ad235edc7238eb9a54be1c8c7b00c3.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,1,1
granite4,image_files/Image_10/10/18.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2,0,4,6,0,0,0,0,6,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_10/10/1f4e3b90ff9d07ec436133afc6967f2d0ad26617.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1
granite4,image_files/Image_10/10/2c6512feaa251a848ab63a10b19218af33de89e9.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,6,0,0,4,1,1,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_10/10/3755a671aa0c4daf0f4c523e23bc067d45dd4526.jpeg,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,3,0,0,3,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_10/10/410eef3d8c056ac2eac34df6f3bf5b241d20bfbf.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,9,5,1,1,5,1,1,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_10/10/41d45d30a6bbc2ed4d721901ca1909ee6dc25138.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,3,3,0,0,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0
granite4,image_files/Image_11/10/4fd902ebbc44c81626b1bd2764151072e6219525.jpeg,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,1,2,0,2,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_11/10/52a546ea9b2782e512ba22e6e3c11c70803c2e0f.jpeg,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,3,4,0,0,0,0,4,0,1,1,0,1,1,0,1,0,0,1,1
granite4,image_files/Image_11/10/57c5aa57fdf782624589f55a6b7c99146eab8861.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,3,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_11/10/61a55973172dc085d7b9b23f8f60264d1c621f3f.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0
granite4,image_files/Image_11/10/66bfc6a6c3a12ea88438d37b4e52ed4ca4191b47.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
granite4,image_files/Image_12/10/6f33b4ce38d1af2a2b1ff466e5a911ca4b4df45f.jpeg,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,2,3,0,0,0,0,3,0,1,1,0,1,1,0,1,0,0,1,1
granite4,image_files/Image_12/10/74895a61f5f8b0e822fe12470b8364800a601980.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,4,0,0,0,4,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_12/10/7ce1623d6d1aebb79015e1d9b78edf235e611eb4.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,7,5,4,0,2,4,3,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_12/10/80a19afbc300c83d6d42d67793f74f5a1eca2698.jpeg,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_12/10/845be0dd6f5b04866a2042abd28d558032ef2576.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,4,0,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_12/10/926a49cf7f0ac27ce2e4ed8d1acc7e576a4292cb.jpeg,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_12/10/9af7313e785b3ac5f17ce0ce25fa0edd9e936b6a.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
granite4,image_files/Image_13/10/af3b42e3a99c860e403a17b494b1a4ee764a23c9.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,3,4,0,0,3,0,1,0,1,0,0,1,0,0,1,0,1,0,0
granite4,image_files/Image_13/10/ce16914d6f7a8c21a3d6a6b4c3075003eac7e86a.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,7,7,0,0,7,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_13/10/d5fb9ab3681a6cf46ddedb238b0f36607233c4dc.jpeg,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_13/10/d6e3f2cccc76e3ac5ec3350546ee1ea792d9a3e7.jpeg,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,7,0,7,0,7,0,0,1,0,0,1,0,0,0,1,0,1,0,0
