filename,DOCUMENT_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_REGISTRATION,ENGINE_CAPACITY,LOGBOOK_PERIOD_START,LOGBOOK_PERIOD_END,ODOMETER_START,ODOMETER_END,TOTAL_KILOMETERS,BUSINESS_KILOMETERS,BUSINESS_USE_PERCENTAGE,JOURNEY_DATES,JOURNEY_DISTANCES,JOURNEY_PURPOSES
logbook_001_professional.png,VEHICLE_LOGBOOK,Toyota,Camry,FD17PQ,2.5L,01 Jan 2025,25 Mar 2025,17811,20800,2989,2328,78%,02 Jan 2025 | 05 Jan 2025 | 08 Jan 2025 | 10 Jan 2025 | 11 Jan 2025 | 11 Jan 2025 | 14 Jan 2025 | 14 Jan 2025 | 18 Jan 2025 | 20 Jan 2025,8 | 94 | 82 | 73 | 40 | 32 | 94 | 53 | 111 | 51,Project site | Warehouse pickup | Delivery | School pickup | Project site | Supplier visit | Private use | Site inspection | Accountant meeting | Equipment maintenance
logbook_002_spreadsheet.png,VEHICLE_LOGBOOK,Mitsubishi,Triton,GMN785,2.4L,01 Apr 2025,23 Jun 2025,133987,136483,2496,2197,88%,01 Apr 2025 | 02 Apr 2025 | 03 Apr 2025 | 06 Apr 2025 | 07 Apr 2025 | 10 Apr 2025 | 11 Apr 2025 | 12 Apr 2025 | 20 Apr 2025 | 21 Apr 2025,48 | 60 | 115 | 87 | 29 | 14 | 17 | 28 | 16 | 57,Customer service call | Warehouse pickup | Training session | Warehouse pickup | Private use | Equipment maintenance | Medical appointment | Sales call | Personal | Private use
logbook_003_handwritten.png,VEHICLE_LOGBOOK,Mitsubishi,Triton,ZTY217,2.4L,01 Mar 2025,23 May 2025,118080,121520,3440,2351,68%,02 Mar 2025 | 04 Mar 2025 | 08 Mar 2025 | 14 Mar 2025 | 14 Mar 2025 | 16 Mar 2025 | 17 Mar 2025 | 17 Mar 2025 | 22 Mar 2025 | 22 Mar 2025,105 | 39 | 30 | 116 | 44 | 56 | 103 | 56 | 98 | 29,Delivery | Private use | Private use | Sales call | Shopping | Bank appointment | Site inspection | Conference | Delivery | Project site
logbook_004_ato_form.png,VEHICLE_LOGBOOK,Kia,Cerato,HK88NT,2.0L,01 Apr 2025,23 Jun 2025,137986,141563,3577,2739,77%,03 Apr 2025 | 03 Apr 2025 | 06 Apr 2025 | 08 Apr 2025 | 11 Apr 2025 | 11 Apr 2025 | 11 Apr 2025 | 12 Apr 2025 | 12 Apr 2025 | 19 Apr 2025,54 | 56 | 21 | 32 | 28 | 117 | 58 | 80 | 87 | 33,Client meeting | Office supplies run | Training session | Delivery | Training session | Office supplies run | Equipment maintenance | Sales call | Site inspection | Delivery
logbook_005_notebook.png,VEHICLE_LOGBOOK,Toyota,Corolla,MLE094,1.8L,01 Feb 2025,25 Apr 2025,115043,118331,3288,2778,84%,01 Feb 2025 | 01 Feb 2025 | 02 Feb 2025 | 05 Feb 2025 | 07 Feb 2025 | 09 Feb 2025 | 10 Feb 2025 | 11 Feb 2025 | 13 Feb 2025 | 13 Feb 2025,11 | 76 | 43 | 53 | 106 | 14 | 83 | 59 | 31 | 15,Warehouse pickup | Personal | Project site | Conference | Project site | Conference | Client meeting | Project site | Office supplies run | Warehouse pickup
logbook_006_commercial.png,VEHICLE_LOGBOOK,Mazda,3,PFU077,2.0L,01 Jul 2025,22 Sep 2025,111208,114979,3771,2966,79%,01 Jul 2025 | 01 Jul 2025 | 02 Jul 2025 | 03 Jul 2025 | 06 Jul 2025 | 07 Jul 2025 | 07 Jul 2025 | 12 Jul 2025 | 14 Jul 2025 | 15 Jul 2025,47 | 6 | 38 | 88 | 88 | 68 | 61 | 85 | 114 | 61,Project site | Training session | Office supplies run | Sales call | Equipment maintenance | Private use | Equipment maintenance | Delivery | Warehouse pickup | Personal
logbook_007_minimal.png,VEHICLE_LOGBOOK,Toyota,Corolla,GZY802,1.8L,01 Jan 2025,25 Mar 2025,23258,26397,3139,2340,75%,01 Jan 2025 | 02 Jan 2025 | 03 Jan 2025 | 05 Jan 2025 | 10 Jan 2025 | 14 Jan 2025 | 14 Jan 2025 | 14 Jan 2025 | 16 Jan 2025 | 18 Jan 2025,31 | 31 | 5 | 34 | 89 | 74 | 50 | 46 | 99 | 13,Medical appointment | Medical appointment | Medical appointment | Equipment maintenance | Personal | Private use | Client meeting | Medical appointment | Supplier visit | Customer service call
logbook_008_accounting.png,VEHICLE_LOGBOOK,Mazda,CX-5,UPC016,2.5L,01 Feb 2025,25 Apr 2025,81330,85328,3998,3082,77%,01 Feb 2025 | 04 Feb 2025 | 06 Feb 2025 | 06 Feb 2025 | 06 Feb 2025 | 08 Feb 2025 | 10 Feb 2025 | 11 Feb 2025 | 13 Feb 2025 | 13 Feb 2025,41 | 70 | 61 | 72 | 55 | 32 | 100 | 73 | 111 | 55,Site inspection | Office supplies run | Project site | Training session | Bank appointment | Accountant meeting | Training session | Sales call | Conference | Personal
logbook_009_scanned.png,VEHICLE_LOGBOOK,Mazda,3,QUU229,2.0L,01 Aug 2025,23 Oct 2025,60860,64031,3171,2270,72%,02 Aug 2025 | 05 Aug 2025 | 06 Aug 2025 | 07 Aug 2025 | 08 Aug 2025 | 08 Aug 2025 | 10 Aug 2025 | 12 Aug 2025 | 15 Aug 2025 | 15 Aug 2025,116 | 109 | 64 | 69 | 52 | 25 | 23 | 113 | 109 | 35,Private use | Supplier visit | School pickup | Sales call | Equipment maintenance | Office supplies run | Conference | Medical appointment | Private use | Delivery
logbook_010_mobile_app.png,VEHICLE_LOGBOOK,Ford,Ranger,VPQ039,3.2L,01 Aug 2025,23 Oct 2025,147807,151492,3685,2780,75%,02 Aug 2025 | 04 Aug 2025 | 07 Aug 2025 | 07 Aug 2025 | 07 Aug 2025 | 09 Aug 2025 | 14 Aug 2025 | 17 Aug 2025 | 17 Aug 2025 | 20 Aug 2025,62 | 21 | 14 | 28 | 69 | 95 | 43 | 119 | 30 | 21,Personal | Delivery | Project site | Medical appointment | School pickup | Staff training | Supplier visit | Medical appointment | Shopping | Shopping
