image_file,document_type,detected_type,detection_correct,overall_accuracy,critical_fields_perfect,ato_compliant,meets_threshold,extraction_time,errors
synthetic_invoice_001.png,invoice,invoice,True,0.976,False,False,True,0.000,
synthetic_invoice_002.png,invoice,invoice,True,0.812,False,False,False,0.000,Critical field error: GST_AMOUNT
synthetic_invoice_003.png,invoice,invoice,True,0.882,True,True,False,0.000,
synthetic_invoice_004.png,receipt,receipt,True,0.733,True,N/A,False,0.000,
synthetic_invoice_005.png,receipt,receipt,True,0.733,True,N/A,False,0.000,
synthetic_invoice_006.png,bank_statement,bank_statement,True,0.889,True,N/A,False,0.000,
synthetic_invoice_007.png,receipt,receipt,True,0.733,True,N/A,False,0.000,
synthetic_invoice_008.png,bank_statement,bank_statement,True,0.889,True,N/A,False,0.000,
synthetic_invoice_009.png,bank_statement,bank_statement,True,0.778,False,N/A,False,0.000,Critical field error: ACCOUNT_CLOSING_BALANCE
synthetic_invoice_010.png,invoice,invoice,True,0.918,False,False,False,0.000,
synthetic_invoice_011.png,invoice,invoice,True,0.976,True,True,True,0.000,
synthetic_invoice_012.png,receipt,receipt,True,0.667,False,N/A,False,0.000,Critical field error: GST_AMOUNT
synthetic_invoice_013.png,bank_statement,bank_statement,True,0.867,True,N/A,False,0.000,
synthetic_invoice_014.png,receipt,receipt,True,0.720,True,N/A,False,0.000,
synthetic_invoice_015.png,receipt,invoice,False,0.768,False,True,False,0.000,Document type misdetected: receipt → invoice; Critical field error: TOTAL_AMOUNT
synthetic_invoice_016.png,receipt,receipt,True,0.653,True,N/A,False,0.000,
synthetic_invoice_017.png,bank_statement,bank_statement,True,0.867,True,N/A,False,0.000,
synthetic_invoice_018.png,receipt,receipt,True,0.707,True,N/A,False,0.000,
synthetic_invoice_019.png,receipt,receipt,True,0.733,True,N/A,False,0.000,
synthetic_invoice_020.png,invoice,invoice,True,0.871,True,True,False,0.000,
synthetic_invoice_021.png,invoice,invoice,True,0.857,False,False,False,0.000,Critical field error: TOTAL_AMOUNT
synthetic_invoice_022.png,invoice,invoice,True,0.929,True,True,False,0.000,
synthetic_invoice_023.png,invoice,invoice,True,1.000,True,True,True,0.000,
synthetic_invoice_024.png,invoice,invoice,True,1.000,True,True,True,0.000,
synthetic_invoice_025.png,invoice,invoice,True,0.929,True,True,False,0.000,
synthetic_invoice_026.png,invoice,invoice,True,0.857,True,False,False,0.000,
synthetic_invoice_027.png,invoice,invoice,True,1.000,True,True,True,0.000,
synthetic_invoice_028.png,invoice,invoice,True,0.922,True,False,False,0.000,
synthetic_invoice_029.png,invoice,invoice,True,0.941,False,True,False,0.000,Critical field error: TOTAL_AMOUNT
synthetic_invoice_030.png,invoice,invoice,True,0.978,True,True,True,0.000,
synthetic_invoice_031.png,invoice,invoice,True,0.889,True,False,False,0.000,
synthetic_invoice_032.png,invoice,invoice,True,0.933,True,True,False,0.000,
synthetic_invoice_033.png,invoice,invoice,True,0.871,False,False,False,0.000,Critical field error: GST_AMOUNT
synthetic_invoice_034.png,invoice,invoice,True,0.965,False,False,True,0.000,
synthetic_invoice_035.png,invoice,invoice,True,0.929,True,True,False,0.000,
synthetic_invoice_036.png,invoice,invoice,True,0.944,True,True,False,0.000,
synthetic_invoice_037.png,invoice,invoice,True,1.000,True,True,True,0.000,
synthetic_invoice_038.png,invoice,invoice,True,0.989,True,True,True,0.000,
synthetic_invoice_039.png,invoice,invoice,True,0.941,True,True,False,0.000,
synthetic_invoice_040.png,invoice,invoice,True,0.922,True,False,False,0.000,
