| Date       | Transaction                                      | Debit  | Credit | Balance   |
|------------|--------------------------------------------------|--------|--------|-----------|
| 16 Apr 2024| RESTAURANT DINING SOUTHBANK VIC A                | 185.00 |        | $2,662.92 CR |
| 18 Apr 2024| BOOKSTORE MELBOURNE CBD AU AUS                   | 67.40  |        | $2,595.52 CR |
| 20 Apr 2024| GYM MEMBERSHIP FITNESS FIRST VIC AU A            | 79.99  |        | $2,515.53 CR |
| 22 Apr 2024| AUTO SERVICES BRUNSWICK AU AUS                   | 245.00 |        | $2,270.53 CR |
| 24 Apr 2024| Transfer from xx8765 CommBank app petrol         |        | 80.00  | $2,350.53 CR |
| 26 Apr 2024| HARDWARE STORE BUNNINGS VIC A                    | 124.85 |        | $2,225.68 CR |
| 28 Apr 2024| ELECTRONICS STORE JB HI FI AU                    | 399.00 |        | $1,826.68 CR |
| 01 May 2024| Transfer from xx912 CommBank app                 |        | 1,500.00 | $3,326.68 CR |
| 03 May 2024| Transfer to xx5432 CommBank app                  | 200.00 |        | $3,126.68 CR |
| 05 May 2024| Transfer to xx984 CommBank app                   | 150.00 |        | $2,976.68 CR |
| 07 May 2024| Transfer to xx7654 CommBank app                  | 400.00 |        | $2,576.68 CR |
| 08 May 2024| PHARMACY CHEMIST MELBOURNE VIC                   | 42.30  |        | $2,534.38 CR |
| 10 May 2024| Direct Debit INSURANCE PREMIUM Majestii          | 85.50  |        | $2,448.88 CR |
| 12 May 2024| Transfer from xx7654 CommBank app                |        | 50.00  | $2,498.88 CR |
| 14 May 2024| STREAMING SERVICE SPOTIFY AUS                    | 14.99  |        | $2,483.89 CR |
| 16 May 2024| PET SUPPLIES PETBARN RICHMOND VIC                | 98.75  |        | $2,385.14 CR |
| 18 May 2024| Transfer from xx8765 CommBank app                |        | 120.00 | $2,505.14 CR |
| 20 May 2024| Transfer from xx2255 CommBank app                |        | 200.00 | $2,705.14 CR |
| 22 May 2024| UTILITIES ELECTRICITY BILL                       | 178.60 |        | $2,526.54 CR |
| 24 May 2024| Transfer from xx7654 CommBank app                |        | 65.00  | $2,591.54 CR |
| 26 May 2024| DEPARTMENT STORE MYERS VIC AU                    | 234.90 |        | $2,356.64 CR |
