| Date       | Transaction                          | Withdrawal | Deposit  | Balance    |
| :--------- | :----------------------------------- | :--------- | :------- | :--------- |
| 08/08/2025 | Card Purchase KMART PERTH WA         |            |          | $8511.73   |
| 08/08/2025 | ATM Withdrawal WESTPAC ATM PERTH WA  | $79.00     |          | $8432.73   |
| 09/08/2025 | Contactless Payment BUNNINGS CANBERRA ACT |           | $850.65  | $7582.08   |
| 12/08/2025 | Interest Payment Ref: 23396P22448136 |           | $1750.42 | $9332.50   |
| 15/08/2025 | EFTPOS Purchase WOOLWORTHS SYDNEY NSW |           | $1215.38 | $8117.12   |
| 15/08/2025 | Direct Debit ACME CORP PTY LTD Ref: 35203P19335534 |           | $1662.22 | $6454.90   |
| 18/08/2025 | Interest Payment Ref: 5982347308985  |           | $4933.50 | $11388.40  |
| 18/08/2025 | EFTPOS Purchase WOOLWORTHS MOBART TAS | $342.06   |          | $11046.34  |
| 20/08/2025 | EFTPOS Purchase COLES SUPERMARKET PERTH WA |           | $1077.60 | $9968.74   |
| 22/08/2025 | Refund BIG W Ref: 40021P143084211    |           | $1488.27 | $11457.01  |
| 25/08/2025 | Insurance Premium AGL Policy 9509P77005685 |           | $437.75  | $11019.26  |
| 27/08/2025 | Direct Credit SALARY Ref: 83579P823403907 |           | $1142.92 | $12162.18  |
| 30/08/2025 | Direct Credit SALARY Ref: 38746P28566572 |           | $4540.20 | $16702.38  |
| 30/08/2025 | ATM Withdrawal WESTPAC ATM BRISBANE OLD | $1724.98  |          | $14977.40  |
| 30/08/2025 | Subscription Spotify Monthly 82512P11540956 |           | $1992.32 | $12985.08  |
