,precision,recall,f1-score,support
BANK_STATEMEN,0.0,0.0,0.0,0.0
BANK_STATEMENT,1.0,0.45454545454545453,0.625,55.0
INVOIC,0.0,0.0,0.0,0.0
INVOICE,1.0,0.6727272727272727,0.8043478260869565,55.0
NOT_FOUND,0.0,0.0,0.0,0.0
RECEIP,0.0,0.0,0.0,0.0
RECEIPT,1.0,0.8181818181818182,0.9,55.0
accuracy,0.6484848484848484,0.6484848484848484,0.6484848484848484,0.6484848484848484
macro avg,0.42857142857142855,0.2779220779220779,0.3327639751552795,165.0
weighted avg,1.0,0.6484848484848484,0.7764492753623189,165.0
