,precision,recall,f1-score,support
BANK_STATEMEN,0.0,0.0,0.0,0.0
BANK_STATEMENT,1.0,0.6727272727272727,0.8043478260869565,55.0
INVOIC,0.0,0.0,0.0,0.0
INVOICE,1.0,0.7272727272727273,0.8421052631578947,55.0
NOT_FOUND,0.0,0.0,0.0,0.0
RECEIP,0.0,0.0,0.0,0.0
RECEIPT,1.0,0.9272727272727272,0.9622641509433962,55.0
accuracy,0.7757575757575758,0.7757575757575758,0.7757575757575758,0.7757575757575758
macro avg,0.42857142857142855,0.33246753246753247,0.3726738914554639,165.0
weighted avg,1.0,0.7757575757575758,0.8695724133960825,165.0
