image_file,overall_accuracy,processing_time,date_format,total_rows,debit_rows,DOCUMENT_TYPE,STATEMENT_DATE_RANGE,TRANSACTION_DATES,LINE_ITEM_DESCRIPTIONS,TRANSACTION_AMOUNTS_PAID,DOCUMENT_TYPE_f1,STATEMENT_DATE_RANGE_f1,TRANSACTION_DATES_f1,LINE_ITEM_DESCRIPTIONS_f1,TRANSACTION_AMOUNTS_PAID_f1
cba_date_grouped.png,0.9894736842105264,21.930994510650635,Date-per-row,14,10,BANK_STATEMENT,18 Mar 2024 - 14 Apr 2024,18 Mar 2024 | 19 Mar 2024 | 20 Mar 2024 | 22 Mar 2024 | 28 Mar 2024 | 03 Apr 2024 | 05 Apr 2024 | 08 Apr 2024 | 10 Apr 2024 | 14 Apr 2024,TELSTRA MOBILE SERVICES SYDNEY AUS | WOOLWORTHS 2847 MELBOURNE VIC AUS | SHELL SERVICE STATION RICHMOND VIC | NETFLIX SUBSCRIPTION | CAFE LATTE FITZROY VIC AUS | Transfer to xx2468 CommBank app | COLES SUPERMARKET CARLTON VIC | PARKING METERS MELBOURNE VIC | RENT PAYMENT REAL ESTATE | CHEMIST WAREHOUSE MELBOURNE VIC,"48.50 | 127.35 | 89.60 | 22.99 | 10.50 | 2,000.00 | 156.78 | 15.00 | 1,850.00 | 54.64",1.0,1.0,1.0,1.0,0.9473684210526316
cba_date_grouped_cont.png,0.993103448275862,30.371084451675415,Date-per-row,21,15,BANK_STATEMENT,16 Apr 2024 - 26 May 2024,16 Apr 2024 | 18 Apr 2024 | 20 Apr 2024 | 22 Apr 2024 | 26 Apr 2024 | 28 Apr 2024 | 03 May 2024 | 05 May 2024 | 07 May 2024 | 08 May 2024 | 10 May 2024 | 14 May 2024 | 16 May 2024 | 22 May 2024 | 26 May 2024,RESTAURANT DINING SOUTHBANK VIC A | BOOKSTORE MELBOURNE CBD AU AUS | GYM MEMBERSHIP FITNESS FIRST VIC AU A | AUTO SERVICES BRUNSWICK AU AUS | HARDWARE STORE BUNNINGS VIC AU | ELECTRONICS STORE JB HIFI AU AUS | Transfer to xx5432 CommBank app | Transfer to xx1964 CommBank app | Transfer to xx7654 CommBank app | PHARMACY CHEMIST MELBOURNE VIC | Direct Debit INSURANCE PREMIUM | STREAMING SERVICE SPOTIFY AUS | PET SUPPLIES PETBARN RICHMOND VIC | UTILITIES ELECTRICITY BILL | DEPARTMENT STORE MYERS VIC AU,185.00 | 67.40 | 79.99 | 245.00 | 124.85 | 399.00 | 200.00 | 150.00 | 400.00 | 42.30 | 85.50 | 14.99 | 98.75 | 178.60 | 234.90,1.0,1.0,1.0,0.9655172413793104,1.0
transaction_summary.png,0.3333333333333333,32.92388606071472,Date-per-row,17,15,BANK_STATEMENT,GROCERY STORE - Card ending: 8934 Interest Free Until 25 May 2024 - Instalment Payment,GROCERY STORE - Card ending: 8934 Interest Free Until 25 May 2024 | ONLINE RETAILER - Card ending: 8934 Interest Free Until 27 May 2024 | International Transaction Fee - Card ending: 8934 Interest Free Until 27 May 2024 | Payment | Interest Charge (01/03/2024 to 05/03/2024) | ELECTRONICS.COM - Card ending: 5621 Interest Free Until 08 Jun 2024 | SUBSCRIPTION SERVICE - Card ending: 5621 Interest Free Until 12 Jun 2024 | International Transaction Fee - Card ending: 5621 Interest Free Until 12 Jun 2024 | DEPARTMENT STORE - Card ending: 5621 Interest Free Until 15 Jun 2024 | International Transaction Fee - Card ending: 5621 Interest Free Until 15 Jun 2024 | Monthly Account Fee | RESTAURANT - Card ending: 8934 Interest Free Until 22 Jun 2024 | Payment | Instalment Payment | Instalment Payment,GROCERY STORE - Card ending: 8934 Interest Free Until 25 May 2024 | ONLINE RETAILER - Card ending: 8934 Interest Free Until 27 May 2024 | International Transaction Fee - Card ending: 8934 Interest Free Until 27 May 2024 | Payment | Interest Charge (01/03/2024 to 05/03/2024) | ELECTRONICS.COM - Card ending: 5621 Interest Free Until 08 Jun 2024 | SUBSCRIPTION SERVICE - Card ending: 5621 Interest Free Until 12 Jun 2024 | International Transaction Fee - Card ending: 5621 Interest Free Until 12 Jun 2024 | DEPARTMENT STORE - Card ending: 5621 Interest Free Until 15 Jun 2024 | International Transaction Fee - Card ending: 5621 Interest Free Until 15 Jun 2024 | Monthly Account Fee | RESTAURANT - Card ending: 8934 Interest Free Until 22 Jun 2024 | Payment | Instalment Payment | Instalment Payment,$127.85 | $245.60 | $2.46 | -$450.00 | $0.00 | $189.99 | $24.95 | $0.25 | $356.40 | $3.56 | $12.95 | $178.50 | -$685.00 | -$45.20 | -$128.75,1.0,0.0,0.0,0.33333333333333326,0.33333333333333326
cba_highligted.png,0.5333333333333333,13.94793176651001,Date-per-row,8,2,BANK_STATEMENT,23 Mar - 02 Apr,23 Mar | 02 Apr,Salary CORPORATION PTY LTD BANK ACCOUNT | Transfer to xx9876 CommBank app,"2,145.80 | 4,200.00",1.0,0.0,0.0,0.6666666666666666,1.0
low_contrast.png,0.7628046593290415,34.15311026573181,Date-per-row,33,33,BANK_STATEMENT,05 Sep 2023 - 10 Sep 2023,05 Sep 2023 | 06 Sep 2023 | 06 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 08 Sep 2023 | 08 Sep 2023 | 09 Sep 2023 | 10 Sep 2023 | Date | 05 Sep 2023 | 06 Sep 2023 | 06 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 07 Sep 2023 | 08 Sep 2023 | 08 Sep 2023 | 09 Sep 2023 | 10 Sep 2023,Otr Supermarket 9876 Sydney Aus | Otr Convenience 4321 Melbourne Aus | Otr Convenience 4321 Melbourne Aus | Retailstore 8765 Perth Aus | Otr Convenience 4321 Melbourne Aus | Valley Shopping Ctr Brisbane Aus | Plaza Hotel Sydney Sydney Cre Aus | Plaza Hotel Sydney Sydney Cre Aus | Department Store P1 Adelaide Aus | Plaza Motorcycl Brisbane Aus | Plaza Hotel Sydney Sydney Cre Aus | Value Retail Pty Newcastle South Aus | Office Supplies Brisbane Aus | Valley Shop Brisbane Aus | Brisbane Store Brisbane Aus | Value Family Trust Brisbane Aus | Description | Otr Supermarket 9876 Sydney Aus | Otr Convenience 4321 Melbourne Aus | Otr Convenience 4321 Melbourne Aus | Retailstore 8765 Perth Aus | Otr Convenience 4321 Melbourne Aus | Valley Shopping Ctr Brisbane Aus | Plaza Hotel Sydney Sydney Cre Aus | Plaza Hotel Sydney Sydney Cre Aus | Department Store P1 Adelaide Aus | Plaza Motorcycl Brisbane Aus | Plaza Hotel Sydney Sydney Cre Aus | Value Retail Pty Newcastle South Aus | Office Supplies Brisbane Aus | Valley Shop Brisbane Aus | Brisbane Store Brisbane Aus | Value Family Trust Brisbane Aus,45.80 | 28.45 | 15.90 | 12.35 | 34.60 | 67.00 | 89.00 | 23.50 | 156.95 | 245.00 | 389.00 | 12.80 | 78.45 | 45.30 | 23.90 | 890.00 | Debits | 45.80 | 28.45 | 15.90 | 12.35 | 34.60 | 67.00 | 89.00 | 23.50 | 156.95 | 245.00 | 389.00 | 12.80 | 78.45 | 45.30 | 23.90 | 890.00,1.0,1.0,0.5652173913043479,0.5957446808510638,0.653061224489796
nab_classic_highligted.png,0.9643391902215432,43.12300109863281,Date-per-row,21,17,BANK_STATEMENT,22 Mar 2024 - 25 Mar 2024,22 Mar 2024 | 23 Mar 2024 | 23 Mar 2024 | 23 Mar 2024 | 23 Mar 2024 | 23 Mar 2024 | 23 Mar 2024 | 24 Mar 2024 | 24 Mar 2024 | 24 Mar 2024 | 24 Mar 2024 | 24 Mar 2024 | 24 Mar 2024 | 24 Mar 2024 | 24 Mar 2024 | 24 Mar 2024 | 25 Mar 2024,Brought forward | EFTPOS 18/06 Fresh Grocers | V1056 18/06 Farmland Markets | Pizza Delivery | V1056 18/06 The Restaurant | V1056 16/06 Gas Station 830000 | V1056 Depot | V1056 20/06 The Restaurant | V1056 Farmland Markets | V1056 20/06 City Square | V1056 20/06 The Restaurant | V1056 Depot Retail No | V1056 21/06 Shopping Complex | V1056 Retail Parkchester Rd Beer | V1056 19/06 Fast Food Chain North | V1056 22/06 Market Street | V1056 24/06 Retail S Fashion,315.60 | 34.85 | 89.75 | 45.50 | 125.00 | 78.40 | 345.60 | 67.80 | 56.90 | 234.50 | 89.60 | 145.80 | 267.40 | 78.90 | 45.80 | 123.60 | 189.50,1.0,1.0,0.9411764705882353,0.9090909090909091,0.9714285714285714
cba_amount_balance.png,1.0,17.564438104629517,Date-per-row,12,12,BANK_STATEMENT,03 Jun 2023 - 14 Jun 2023,03 Jun 2023 | 04 Jun 2023 | 06 Jun 2023 | 06 Jun 2023 | 07 Jun 2023 | 08 Jun 2023 | 08 Jun 2023 | 09 Jun 2023 | 09 Jun 2023 | 10 Jun 2023 | 12 Jun 2023 | 14 Jun 2023,GROCERY MARKET SUBURB NSW AUS | DEPARTMENT STORE SHOPPING DIST NS AUS | CAFE CENTRAL T 54321F SUBURB AUS | CAFE CENTRAL T 54321F SUBURB AUS | ONLINE RETAILER.COM SYDNEY AU AUS | SERVICE STATION SUBURB NS AUS | SERVICE STATION SUBURB NS AUS | ONLINE SUBSCRIPTION SYDNEY AU AUS | ONLINE SUBSCRIPTION SYDNEY AU AUS | ELECTRONICS 9876 SUBURB NSW AUS | PHARMACY SERVICES MELBOURNE AUS | BOOKSTORE 2345 SYDNEY AUS,-$78.90 | -$345.80 | -$24.50 | -$31.20 | -$18.95 | -$95.40 | -$28.60 | -$89.00 | -$145.50 | -$567.30 | -$42.85 | -$234.90,1.0,1.0,1.0,1.0,1.0
cba_debit_credit.png,0.5862068965517242,16.427942991256714,Date-per-row,16,14,BANK_STATEMENT,20 May - 23 May,20 May | 21 May | 21 May | 21 May | 21 May | 21 May | 21 May | 22 May | 22 May | 22 May | 23 May | 23 May | 23 May | 23 May,Direct Debit 987654 Loan Repayment | RETAIL STORE SUBURB AU | SUPERMARKET SHOPPING SUBURB AU | SHOPPING SUBURB SUBURB AU | SHOPPING SUBURB SUBURB AU | Store RSL Suburb0 AU | Transfer To financially sorted | GROCERY STORE SUBURB AU | PETROL STATION SUBURB VICAU | RETAIL STORES SUBURB VICAU | DEPARTMENT STORE PTY LTD SUBURB VIC AU | RETAIL STORES EASTLINK VIC SUBURB AU | RETAIL STORE PTY LTD Suburb VICAU | RETAIL STORE PTY LTD Suburb VICAU,"178.50 | 245.00 | 89.95 | 34.50 | 67.00 | 145.80 | 450.00 | 124.00 | 78.90 | 56.40 | 1,456.80 | 67.75 | 89.25 | 45.80",1.0,0.0,0.0,0.9655172413793104,0.9655172413793104
westpac_debit_credit.png,0.225,28.907585859298706,Date-per-row,17,15,BANK_STATEMENT,28 Nov 23 - 23 Dec 23,28 Nov 23 | 30 Nov 23 | 01 Dec 23 | 03 Dec 23 | 06 Dec 23 | 06 Dec 23 | 07 Dec 23 | 07 Dec 23 | 10 Dec 23 | 12 Dec 23 | 13 Dec 23 | 18 Dec 23 | 22 Dec 23 | 22 Dec 23 | 23 Dec 23,Stores Melbourne T2 Sydney Domest AUS SUBURB NSW ETOLL | RETAIL STORE SUBURB SHOPPING CENTRE SUBURB | AUTOMOTIVE SERVICE CAFE PTY LTD | PHARMACY PTY LTD RESTAURANT 2347F FUEL AUSTRALIA PTY | C90123 TFR FROM Westpac Choice | C012 Y12-10684-33234 Sydney AUS INSURANCE CO SYDNEY AUS RETAIL HOTEL PTY LTD LOCATION AUS | C3915 TFR FROM Westpac Choice RETAIL AUSTRALIA PTY MELBOURNE AUS | CASH ADVANCE SPORTING PTY LTD DARWIN AUS | C6000 TFR FROM Westpac Choice | RETAIL BRANDS AU SUBURB AUS PARKING PTY LTD SUBURB AUS DINING BAHAMA SUBURB AUS | RETAIL SERVICES 1849 SUBURB AUS RETAIL COMPANY 1849 SUBURB AUS SHOPPING AUSTRALIA SUBURB AUS RETAIL STOKES SUBURB AUS | SERVICES*123 Accounting SUBURB AUS RETAIL INDUSTRIAL SUBURB EAST AUS | RETAIL STORE 22478F SUBURB AUS CAFE STORE 22478F SUBURB AUS AUTOMOTIVE SERVICE SUBURB AUS | RETAIL STORE FT SUBURB H LOCATION AUS RETAIL STORES 1149 SUBURB AUS | RETAIL STORE EPARK ONL28 SUBURB 28 AUS CRED VOUCHER,"12.50 | 234.60 | 156.70 | 78.40 | 2,500.00 | 345.90 | 3,200.00 | 750.00 | 1,800.00 | 78.40 | 189.50 | 678.06 | 234.51 | 386.00 | 234.83",1.0,0.0,0.0625,0.0,0.0625
cba_home_loan.png,0.43999999999999995,14.042425632476807,Date-per-row,6,2,BANK_STATEMENT,27 Oct - 04 Nov,27 Oct | 04 Nov,Repayment/Payment NetBank Backdated to 25/10/25 | Repayment/Payment,54.00 | 85.99,1.0,0.0,0.4,0.4,0.4
